,Computer Time (microseconds),Arduino Time (seconds),pulseTime (microseconds),pulsetime/2 in seconds,Distance Estimate in cm,Actual In cm
1084,1.76E+15,29885548,1204,0.000602,21.892934,20
1085,1.76E+15,29909952,1229,0.0006145,22.3475215,20
1086,1.76E+15,29934384,1247,0.0006235,22.6748245,20
1087,1.76E+15,29958756,1192,0.000596,21.674732,20
1088,1.76E+15,29983144,1210,0.000605,22.002035,20
1089,1.76E+15,30007500,1167,0.0005835,21.2201445,20
1090,1.76E+15,30031880,1192,0.000596,21.674732,20
1091,1.76E+15,30056212,1154,0.000577,20.983759,20
1092,1.76E+15,30080568,1173,0.0005865,21.3292455,20
1093,1.76E+15,30104880,1135,0.0005675,20.6382725,20
1094,1.76E+15,30129216,1148,0.000574,20.874658,20
1095,1.76E+15,30153564,1172,0.000586,21.311062,20
1096,1.76E+15,30177864,1117,0.0005585,20.3109695,20
1097,1.76E+15,30202240,1192,0.000596,21.674732,20
1098,1.76E+15,30226560,1130,0.000565,20.547355,20
1099,1.76E+15,30250892,1155,0.0005775,21.0019425,20
1100,1.76E+15,30275168,1098,0.000549,19.965483,20
1101,1.76E+15,30299524,1173,0.0005865,21.3292455,20
1102,1.76E+15,30323824,1111,0.0005555,20.2018685,20
1103,1.76E+15,30348116,1117,0.0005585,20.3109695,20
1104,1.76E+15,30372416,1117,0.0005585,20.3109695,20
1105,1.76E+15,30396716,1117,0.0005585,20.3109695,20
1106,1.76E+15,30421024,1117,0.0005585,20.3109695,20
1107,1.76E+15,30445316,1117,0.0005585,20.3109695,20
1108,1.76E+15,30469616,1117,0.0005585,20.3109695,20
1109,1.76E+15,30493916,1117,0.0005585,20.3109695,20
1110,1.76E+15,30518216,1117,0.0005585,20.3109695,20
1111,1.76E+15,30542512,1117,0.0005585,20.3109695,20
1112,1.76E+15,30566808,1117,0.0005585,20.3109695,20
1113,1.76E+15,30591104,1111,0.0005555,20.2018685,20
1114,1.76E+15,30615392,1117,0.0005585,20.3109695,20
1115,1.76E+15,30639696,1117,0.0005585,20.3109695,20
1116,1.76E+15,30663996,1117,0.0005585,20.3109695,20
1117,1.76E+15,30688300,1117,0.0005585,20.3109695,20
1118,1.76E+15,30712592,1116,0.000558,20.292786,20
1119,1.76E+15,30736896,1116,0.000558,20.292786,20
1120,1.76E+15,30761188,1116,0.000558,20.292786,20
1121,1.76E+15,30785488,1117,0.0005585,20.3109695,20
1122,1.76E+15,30809788,1117,0.0005585,20.3109695,20
1123,1.76E+15,30834084,1117,0.0005585,20.3109695,20
1124,1.76E+15,30858380,1111,0.0005555,20.2018685,20
1125,1.76E+15,30882672,1117,0.0005585,20.3109695,20
1126,1.76E+15,30906968,1117,0.0005585,20.3109695,20
1127,1.76E+15,30931264,1117,0.0005585,20.3109695,20
1128,1.76E+15,30955564,1117,0.0005585,20.3109695,20
1129,1.76E+15,30979860,1117,0.0005585,20.3109695,20
1130,1.76E+15,31004152,1117,0.0005585,20.3109695,20
1131,1.76E+15,31028452,1116,0.000558,20.292786,20
1132,1.76E+15,31052748,1117,0.0005585,20.3109695,20
1133,1.76E+15,31077048,1117,0.0005585,20.3109695,20
1134,1.76E+15,31101348,1117,0.0005585,20.3109695,20
1135,1.76E+15,31125648,1111,0.0005555,20.2018685,20
1136,1.76E+15,31149940,1117,0.0005585,20.3109695,20
1137,1.76E+15,31174240,1117,0.0005585,20.3109695,20
1138,1.76E+15,31198536,1117,0.0005585,20.3109695,20
1139,1.76E+15,31222840,1117,0.0005585,20.3109695,20
1140,1.76E+15,31247128,1116,0.000558,20.292786,20
1141,1.76E+15,31271428,1117,0.0005585,20.3109695,20
1142,1.76E+15,31295728,1117,0.0005585,20.3109695,20
1143,1.76E+15,31320028,1117,0.0005585,20.3109695,20
1144,1.76E+15,31344320,1117,0.0005585,20.3109695,20
1145,1.76E+15,31368616,1117,0.0005585,20.3109695,20
1146,1.76E+15,31392916,1111,0.0005555,20.2018685,20
1147,1.76E+15,31417208,1117,0.0005585,20.3109695,20
1148,1.76E+15,31441508,1117,0.0005585,20.3109695,20
1149,1.76E+15,31465804,1116,0.000558,20.292786,20
1150,1.76E+15,31490108,1117,0.0005585,20.3109695,20
1151,1.76E+15,31514396,1117,0.0005585,20.3109695,20
1152,1.76E+15,31538696,1117,0.0005585,20.3109695,20
1153,1.76E+15,31562996,1117,0.0005585,20.3109695,20
1154,1.76E+15,31587296,1117,0.0005585,20.3109695,20
1155,1.76E+15,31611596,1117,0.0005585,20.3109695,20
1156,1.76E+15,31635896,1116,0.000558,20.292786,20
1157,1.76E+15,31660196,1116,0.000558,20.292786,20
1158,1.76E+15,31684492,1117,0.0005585,20.3109695,20
1159,1.76E+15,31708792,1117,0.0005585,20.3109695,20
1160,1.76E+15,31733096,1117,0.0005585,20.3109695,20
1161,1.76E+15,31757400,1111,0.0005555,20.2018685,20
1162,1.76E+15,31781692,1117,0.0005585,20.3109695,20
1163,1.76E+15,31805988,1117,0.0005585,20.3109695,20
1164,1.76E+15,31830288,1117,0.0005585,20.3109695,20
1165,1.76E+15,31854588,1117,0.0005585,20.3109695,20
1166,1.76E+15,31878884,1117,0.0005585,20.3109695,20
1167,1.76E+15,31903180,1117,0.0005585,20.3109695,20
1168,1.76E+15,31927480,1117,0.0005585,20.3109695,20
1169,1.76E+15,31951780,1117,0.0005585,20.3109695,20
1170,1.76E+15,31976080,1117,0.0005585,20.3109695,20
1171,1.76E+15,32000380,1117,0.0005585,20.3109695,20
1172,1.76E+15,32024676,1111,0.0005555,20.2018685,20
1173,1.76E+15,32048968,1117,0.0005585,20.3109695,20
1174,1.76E+15,32073264,1117,0.0005585,20.3109695,20
1175,1.76E+15,32097564,1117,0.0005585,20.3109695,20
1176,1.76E+15,32121868,1116,0.000558,20.292786,20
1177,1.76E+15,32146160,1117,0.0005585,20.3109695,20
1178,1.76E+15,32170460,1117,0.0005585,20.3109695,20
1179,1.76E+15,32194756,1117,0.0005585,20.3109695,20
1180,1.76E+15,32219048,1116,0.000558,20.292786,20
1181,1.76E+15,32243348,1117,0.0005585,20.3109695,20
1182,1.76E+15,32267648,1117,0.0005585,20.3109695,20
1183,1.76E+15,32291944,1111,0.0005555,20.2018685,20
1184,1.76E+15,32316236,1117,0.0005585,20.3109695,20
1185,1.76E+15,32340536,1117,0.0005585,20.3109695,20
1186,1.76E+15,32364832,1117,0.0005585,20.3109695,20
1187,1.76E+15,32389132,1117,0.0005585,20.3109695,20
1188,1.76E+15,32413424,1117,0.0005585,20.3109695,20
1189,1.76E+15,32437724,1117,0.0005585,20.3109695,20
1190,1.76E+15,32462024,1117,0.0005585,20.3109695,20
1191,1.76E+15,32486324,1116,0.000558,20.292786,20
1192,1.76E+15,32510616,1117,0.0005585,20.3109695,20
1193,1.76E+15,32534912,1117,0.0005585,20.3109695,20
1194,1.76E+15,32559212,1111,0.0005555,20.2018685,20
1195,1.76E+15,32583504,1117,0.0005585,20.3109695,20
1196,1.76E+15,32607804,1117,0.0005585,20.3109695,20
1197,1.76E+15,32632104,1117,0.0005585,20.3109695,20
1198,1.76E+15,32656408,1117,0.0005585,20.3109695,20
1199,1.76E+15,32680700,1117,0.0005585,20.3109695,20
1200,1.76E+15,32705000,1117,0.0005585,20.3109695,20
1201,1.76E+15,32729300,1117,0.0005585,20.3109695,20
1202,1.76E+15,32753600,1117,0.0005585,20.3109695,20
1203,1.76E+15,32777900,1117,0.0005585,20.3109695,20
1204,1.76E+15,32802196,1117,0.0005585,20.3109695,20
